roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
0.782962,-107.982056,21.096569,114,20,-1.238975,-1.221488,1.692592,1.58796,1
0.058547,-108.338989,20.798553,113,27,-1.238987,-1.221488,1.692592,1.587853,1
-0.40721,-108.335289,21.850569,110,28,-1.238987,-1.221537,1.692602,1.587969,1
0.434425,-108.256599,21.825197,109,25,-1.238981,-1.221544,1.692669,1.587979,1
0.220539,-108.024223,21.182106,110,27,-1.23895,-1.221544,1.692679,1.587979,1
0.31784,-108.06665,20.772263,118,21,-1.238919,-1.221531,1.692679,1.587979,1
0.280235,-108.082817,21.000908,134,6,-1.238919,-1.221519,1.692679,1.587979,1
0.4686,-108.201721,20.881647,144,6,-1.238919,-1.221506,1.69265,1.587969,1
0.419695,-108.300468,20.932497,140,8,-1.238919,-1.221506,1.69264,1.587969,1
0.813638,-108.068726,20.347164,124,15,-1.238919,-1.221506,1.69264,1.587969,1
0.431193,-107.925102,20.298695,114,24,-1.238925,-1.221506,1.692611,1.58795,1
0.547887,-108.236725,20.675131,107,25,-1.238956,-1.221506,1.692611,1.58794,1
0.867695,-108.370819,21.028431,105,22,-1.238956,-1.221506,1.692611,1.58794,1
0.804146,-108.342941,20.914408,107,18,-1.238994,-1.221513,1.692689,1.58794,1
0.557531,-108.476814,21.364342,111,26,-1.238994,-1.221519,1.692708,1.58795,1
0.244324,-107.375832,20.863092,112,29,-1.238994,-1.221519,1.692728,1.58796,1
0.569249,-105.304848,19.41868,111,30,-1.238987,-1.22155,1.692728,1.58796,1
-0.019395,-105.488869,16.986252,112,31,-1.238956,-1.22155,1.692718,1.58796,1
-0.132727,-105.651665,16.813686,111,33,-1.238956,-1.22155,1.692679,1.58796,1
-0.063309,-105.954262,17.0229,112,32,-1.23895,-1.221544,1.692582,1.58796,1
-0.003329,-106.295685,17.301338,113,33,-1.23895,-1.221531,1.692582,1.58796,1
-0.064795,-106.346855,17.967573,112,33,-1.23895,-1.221519,1.692582,1.58796,1
-0.020234,-106.33847,17.896605,112,32,-1.23895,-1.221513,1.692602,1.58796,1
0.000814,-106.421066,17.942541,112,33,-1.23895,-1.221513,1.692621,1.58796,1
-0.049356,-106.477074,18.01136,112,33,-1.23895,-1.221506,1.69265,1.58796,1
-0.010377,-106.342171,17.715311,112,31,-1.23895,-1.221506,1.69266,1.58796,1
-0.023019,-106.469818,17.795721,112,33,-1.23895,-1.221506,1.69266,1.58796,1
-0.04984,-106.28862,18.158478,112,33,-1.23895,-1.221506,1.692669,1.58796,1
-0.100994,-106.109596,17.80826,113,32,-1.238688,-1.221263,1.692243,1.587853,1
0.001805,-105.677582,16.646378,113,32,-1.233759,-1.214645,1.682917,1.576365,1
0.284412,-105.646233,14.94301,109,28,-1.219581,-1.202137,1.656528,1.553932,1
-0.071094,-106.385139,14.334061,104,22,-1.196441,-1.17904,1.613379,1.511703,1
-0.213523,-106.71965,14.795836,104,21,-1.164414,-1.146982,1.554427,1.453653,1
0.253382,-107.344482,15.821432,103,24,-1.130654,-1.113223,1.502377,1.401594,3
0.301338,-107.554764,16.487066,102,21,-1.081975,-1.06455,1.440275,1.339268,3
-0.201802,-107.180832,16.906521,104,22,-1.024477,-1.007033,1.37793,1.277156,3
-0.069182,-105.920006,16.548861,62,30,-0.973174,-0.955737,1.326607,1.215043,3
0.085163,-101.982758,14.068636,57,43,-0.911046,-0.893596,1.264505,1.163711,3
0.779549,-95.716858,359.811432,57,54,-0.848718,-0.831293,1.202392,1.101376,3
-1.124265,-93.473122,358.409454,55,54,-0.78659,-0.769159,1.140067,1.039293,3
-2.865906,-92.986549,357.328033,57,63,-0.734545,-0.717102,1.087988,0.977132,3
-2.271997,-93.631073,357.269257,54,65,-0.672218,-0.654793,1.025866,0.925102,3
-1.651693,-95.894966,358.039001,54,60,-0.610083,-0.592658,0.963744,0.862757,3
-1.760947,-98.961105,106.272171,61,62,-0.558032,-0.540607,0.911501,0.800645,3
-0.729909,-100.210014,32.182289,73,65,-0.495898,-0.478479,0.849369,0.748576,3
1.171676,-99.295059,12.272716,90,87,-0.430417,-0.412992,0.78399,0.6831,3
2.164846,-97.851234,4.935401,107,106,-0.371461,-0.354029,0.724931,0.624128,2
0.37389,-96.328842,259.996399,121,115,-0.320151,-0.30272,0.673618,0.562006,2
0.12466,-94.98526,234.464142,139,109,-0.25783,-0.240592,0.611496,0.510703,2
0.178029,-94.259369,325.37851,154,113,-0.196256,-0.180059,0.549365,0.448387,2
0.663333,-93.855896,346.601044,164,124,-0.149864,-0.127983,0.487049,0.386256,2
0.211048,-93.821762,352.187653,178,136,-0.102812,-0.091182,0.434999,0.334197,2
0.133249,-93.665665,354.565247,190,135,-0.064447,-0.05531,0.372868,0.272075,2
-0.000748,-93.482117,354.932587,199,134,-0.035037,-0.028425,0.310649,0.21003,2
-1.133426,-91.565987,354.478394,204,130,-0.017288,-0.012726,0.258512,0.15926,2
-1.755002,-89.167786,351.680664,214,121,-0.004188,-0.002119,0.197689,0.129469,2
-1.644561,-88.055077,348.535431,222,106,6.00E-06,-2.50E-05,0.150497,0.109063,2
-0.076314,-87.132278,345.276642,223,105,1.90E-05,-4.40E-05,0.123992,0.104632,2
0.50738,-87.95871,342.960175,217,102,3.10E-05,-4.40E-05,0.106959,0.104681,2
0.762854,-90.923691,344.817566,199,108,2.50E-05,-1.90E-05,0.1047,0.104681,2
1.50377,-92.396797,348.767334,186,116,1.20E-05,1.20E-05,0.1047,0.10471,2
1.859432,-92.212296,349.989044,176,121,1.20E-05,1.20E-05,0.1047,0.1047,2
1.907097,-91.826874,349.690247,171,127,1.20E-05,1.20E-05,0.1047,0.1047,2
1.719688,-91.754265,349.600494,170,129,6.00E-06,1.20E-05,0.1047,0.1047,2
1.577213,-92.073448,349.78717,176,127,6.00E-06,1.20E-05,0.10471,0.1047,2
1.005427,-91.736977,349.972351,177,126,0,1.20E-05,0.10471,0.1047,2
0.827774,-91.783455,349.467438,184,126,0,1.20E-05,0.10471,0.1047,2
-0.204324,-91.421654,350.111572,181,127,0,6.00E-06,0.10471,0.1047,2
1.53822,-92.563843,350.440765,178,124,0,-1.20E-05,0.10471,0.104652,2
-0.246239,-91.955635,351.355438,174,126,0,-1.20E-05,0.10471,0.104739,2
1.644479,-91.6465,349.935059,162,130,-6.00E-06,-1.20E-05,0.1047,0.104729,2
1.820081,-92.358551,349.803284,149,129,-6.00E-06,-6.00E-06,0.1047,0.1047,2
1.450625,-92.239143,350.212433,155,127,-6.00E-06,-6.00E-06,0.1047,0.104739,2
0.376932,-93.040413,351.249939,171,122,-1.20E-05,1.20E-05,0.1047,0.104739,2
1.398372,-93.437332,352.961334,165,128,-1.20E-05,1.20E-05,0.1047,0.104652,2
0.429821,-93.295761,352.432983,161,130,-1.20E-05,6.00E-06,0.1047,0.104652,2
0.423317,-93.147591,353.534332,158,130,-1.20E-05,6.00E-06,0.1047,0.104748,2
0.719024,-93.945892,354.214996,153,127,-1.20E-05,6.00E-06,0.1047,0.10469,2
2.659766,-93.157959,352.289459,152,125,-1.20E-05,6.00E-06,0.104622,0.1047,2
0.591101,-92.248856,351.432983,155,127,-1.20E-05,6.00E-06,0.104642,0.1047,2
1.000334,-91.996269,350.320404,152,128,-1.20E-05,6.00E-06,0.104681,0.1047,2
1.311124,-92.839874,350.955627,149,127,-1.20E-05,0,0.10469,0.1047,2
2.274182,-93.314293,351.242249,154,123,-6.00E-06,-1.20E-05,0.1047,0.1047,2
2.07073,-93.351822,350.929504,170,113,0,-1.90E-05,0.1047,0.10469,2
1.458401,-94.557472,352.194672,185,107,0,-1.90E-05,0.1047,0.104661,2
0.046195,-95.025772,354.465668,191,101,0,-1.90E-05,0.1047,0.104671,2
0.788289,-95.029518,356.096802,193,95,0,-1.90E-05,0.1047,0.104681,2
1.048065,-94.913681,355.433136,192,114,-6.00E-06,-6.00E-06,0.1047,0.104748,2
0.923551,-94.90239,355.489868,182,123,0,-6.00E-06,0.1047,0.104739,2
0.787356,-93.754211,355.157593,175,125,0,2.50E-05,0.1047,0.10471,2
1.04857,-93.238335,353.534882,181,124,0,2.50E-05,0.1047,0.1047,2
1.495356,-94.060486,352.274078,180,125,0,2.50E-05,0.1047,0.1047,2
1.103531,-94.349678,352.722687,178,126,0,1.90E-05,0.1047,0.1047,2
1.287605,-94.26709,353.785126,176,125,0,1.20E-05,0.1047,0.10471,2
1.296988,-94.265816,353.465118,179,126,0,0,0.1047,0.10471,2
1.135679,-94.346252,353.905212,178,127,0,0,0.1047,0.10471,2
1.309898,-94.297363,353.730225,178,127,0,0,0.1047,0.10469,2
1.439654,-94.206535,353.697693,180,127,0,0,0.1047,0.10469,2
1.29447,-94.22757,353.750366,183,125,0,-6.00E-06,0.1047,0.10469,2
1.333526,-94.577843,354.036041,174,115,0,-6.00E-06,0.1047,0.10469,2
1.206013,-94.966263,355.363037,168,113,0,-6.00E-06,0.1047,0.10469,2
1.655323,-95.257431,355.693542,169,113,0,-6.00E-06,0.1047,0.10469,2
1.500772,-95.577309,356.877228,167,113,0,-6.00E-06,0.1047,0.10469,2
1.619906,-95.631836,357.944733,165,111,0,-6.00E-06,0.1047,0.10469,2
1.541771,-94.917252,358.271454,180,103,0,-6.00E-06,0.1047,0.10469,2
1.70023,-93.227661,357.499725,203,64,0,-0.003858,0.099048,0.117758,2
0.446605,-86.719307,350.405579,172,8,4.40E-05,0.005216,0.089741,0.207316,2
-0.64334,-84.296547,346.821228,169,-13,-0.000156,0.010084,0.08757,0.350348,2
3.158937,-81.47213,340.54425,166,-26,1.90E-05,-0.029727,0.098001,0.494165,2
