roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D3,E1,F1,G1,H4,I4,1
A3,B1,C1,D3,E1,F1,G1,H4,I4,1
A3,B1,C1,D3,E1,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A3,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,1
A2,B1,C1,D2,E2,F1,G1,H4,I4,3
A2,B1,C1,D2,E2,F1,G1,H4,I4,3
A2,B1,C1,D2,E2,F1,G1,H4,I4,3
A2,B1,C1,D1,E2,F1,G1,H4,I3,3
A2,B2,C1,D1,E2,F2,G2,H4,I3,3
A3,B2,C4,D1,E2,F2,G2,H3,I3,3
A2,B2,C4,D1,E2,F2,G2,H3,I3,3
A1,B3,C4,D1,E2,F2,G2,H3,I3,3
A2,B2,C4,D1,E2,F2,G2,H3,I3,3
