,support,confidence
F4---2,0.4330766409974331,1.0
F4---H1---2,0.42005867253392004,1.0
D4---H1,0.38357169050238354,1.0
F4---I1---2,0.3511184451778511,1.0
D4---E1---H1,0.3509350935093509,1.0
F4---H1---I1---2,0.3381004767143381,1.0
F2---I1---0,0.337000366703337,1.0
2---D4---H1,0.32893289328932895,1.0
F4---G2---2,0.3226989365603227,1.0
2---E1---H1,0.32086541987532086,1.0
F2---G4---0,0.31298129812981296,1.0
0---G4---F2,0.31298129812981296,1.0
F4---G2---H1---2,0.3122478914558122,1.0
F2---G4---I1---0,0.3071140447378071,1.0
0---G4---I1---F2,0.3071140447378071,1.0
0---D1---I1,0.30234690135680237,1.0
2---D4---E1---H1,0.30033003300330036,1.0
D4---G2---H1,0.2972130546387972,1.0
2---D4---G2---H1,0.2962962962962963,1.0
D4---F4---2,0.29372937293729373,1.0
D4---F4---H1,0.29372937293729373,1.0
D4---F4---H1---2,0.29372937293729373,1.0
2---D4---F4---H1,0.29372937293729373,1.0
2---E1---G2---H1,0.292995966263293,1.0
E1---F4---2,0.2854785478547855,1.0
E1---F4---H1,0.2854785478547855,1.0
E1---F4---H1---2,0.2854785478547855,1.0
2---E1---F4---H1,0.2854785478547855,1.0
D4---E1---G2---H1,0.28474514118078476,1.0
D1---F2---I1---0,0.28437843784378436,1.0
0---D1---F2---I1,0.28437843784378436,1.0
2---D4---E1---G2---H1,0.2838283828382838,1.0
D1---E4---I1,0.2777777777777778,1.0
0---E4---I1,0.26897689768976896,1.0
D1---G4---I1,0.26567656765676567,1.0
D4---E1---F4---2,0.26512651265126513,1.0
D4---E1---F4---H1,0.26512651265126513,1.0
D4---E1---F4---H1---2,0.26512651265126513,1.0
2---D4---E1---F4---H1,0.26512651265126513,1.0
D4---F4---G2---2,0.2625595892922626,1.0
D4---F4---G2---H1,0.2625595892922626,1.0
D4---F4---G2---H1---2,0.2625595892922626,1.0
2---D4---F4---G2---H1,0.2625595892922626,1.0
E4---G4---I1,0.26127612761276126,1.0
0---D1---E4---I1,0.25944261092775944,1.0
E1---F4---G2---2,0.2590759075907591,1.0
E1---F4---G2---H1,0.2590759075907591,1.0
E1---F4---G2---H1---2,0.2590759075907591,1.0
2---E1---F4---G2---H1,0.2590759075907591,1.0
E4---F2---0,0.2565089842317565,1.0
E4---F2---I1,0.2565089842317565,1.0
E4---F2---I1---0,0.2565089842317565,1.0
0---E4---F2---I1,0.2565089842317565,1.0
G2---I1---2,0.2544921158782545,1.0
D1---F2---G4---0,0.2544921158782545,1.0
0---D1---G4---F2,0.2544921158782545,1.0
0---D1---G4---I1,0.2544921158782545,1.0
D1---F2---G4---I1,0.2544921158782545,1.0
